traveler_id,traveler_status,update_time,association
127102,2,25820,2
127119,2,25820,2
127365,2,25820,2
138633,2,25820,3
138929,2,25820,3
139060,2,25820,3
139098,2,25820,3
139211,2,25820,3
139443,2,25820,3
139537,2,25820,3
139584,2,25820,3
139816,2,25820,3
140189,2,25820,3
140305,2,25820,3
140332,2,25820,3
140427,2,25820,3
140464,2,25820,3
140745,2,25820,3
140818,2,25820,3
141055,2,25820,3
141120,2,25820,3
141377,2,25820,3
141420,2,25820,3
141629,2,25820,3
141799,2,25820,3
141836,2,25820,3
149381,2,25820,3
149400,2,25820,3
149555,2,25820,3
149635,2,25820,3
149732,2,25820,3
149912,2,25820,3
150319,2,25820,3
150454,2,25820,3
150589,2,25820,3
150629,2,25820,3
151119,2,25820,3
151283,2,25820,3
151385,2,25820,3
151424,2,25820,3
151430,2,25820,3
151595,2,25820,3
151610,2,25820,3
152030,2,25820,3
152078,2,25820,3
152538,2,25820,3
152856,2,25820,3
160468,2,25820,3
160793,2,25820,3
161131,2,25820,3
161364,2,25820,3
161382,2,25820,3
161474,2,25820,3
161682,2,25820,3
161707,2,25820,3
161893,2,25820,3
162073,2,25820,3
162659,2,25820,3
162719,2,25820,3
162784,2,25820,3
162883,2,25820,3
163170,2,25820,3
163295,2,25820,3
163813,2,25820,3
163832,2,25820,3
163850,2,25820,3
163963,2,25820,3
172122,2,25820,4
172322,2,25820,4
172491,2,25820,4
172542,2,25820,4
172578,2,25820,4
173231,2,25820,4
173575,2,25820,4
173661,2,25820,4
173725,2,25820,4
174107,2,25820,4
174269,2,25820,4
174544,2,25820,4
174600,2,25820,4
174630,2,25820,4
175130,2,25820,4
182595,2,25820,4
182892,2,25820,4
183422,2,25820,4
183433,2,25820,4
183451,2,25820,4
183907,2,25820,4
184263,2,25820,4
184284,2,25820,4
184302,2,25820,4
184528,2,25820,4
184621,2,25820,4
184978,2,25820,4
185027,2,25820,4
185074,2,25820,4
185915,2,25820,4
185935,2,25820,4
185999,2,25820,4
186112,2,25820,4
193565,2,25820,4
193718,2,25820,4
194011,2,25820,4
194078,2,25820,4
194211,2,25820,4
194498,2,25820,4
194548,2,25820,4
194758,2,25820,4
194872,2,25820,4
194944,2,25820,4
195297,2,25820,4
195685,2,25820,4
195826,2,25820,4
195835,2,25820,4
195877,2,25820,4
195898,2,25820,4
196208,2,25820,4
196335,2,25820,4
196547,2,25820,4
196630,2,25820,4
196641,2,25820,4
196667,2,25820,4
200823,2,25820,5
200971,2,25820,5
201039,2,25820,5
201627,2,25820,5
202070,2,25820,5
202119,2,25820,5
202294,2,25820,5
202402,2,25820,5
202775,2,25820,5
202957,2,25820,5
203159,2,25820,5
203218,2,25820,5
203282,2,25820,5
203684,2,25820,5
203707,2,25820,5
203744,2,25820,5
204068,2,25820,5
212021,2,25820,5
212521,2,25820,5
212556,2,25820,5
212594,2,25820,5
212694,2,25820,5
213187,2,25820,5
213853,2,25820,5
213969,2,25820,5
214333,2,25820,5
214799,2,25820,5
214890,2,25820,5
215021,2,25820,5
215048,2,25820,5
215049,2,25820,5
215165,2,25820,5
215292,2,25820,5
222796,2,25820,5
222961,2,25820,5
223318,2,25820,5
223330,2,25820,5
223356,2,25820,5
223452,2,25820,5
223475,2,25820,5
223542,2,25820,5
223604,2,25820,5
223605,2,25820,5
223671,2,25820,5
223754,2,25820,5
224063,2,25820,5
224202,2,25820,5
224598,2,25820,5
224711,2,25820,5
224866,2,25820,5
224906,2,25820,5
224916,2,25820,5
225676,2,25820,5
